ProductID,ProductionLine,Temperature,Pressure,AssemblyTime,Sensor1Reading,Sensor2Reading,Sensor3Reading,OperatorExperience,Defective
7817,LineC,98.49,42.82,259.9,0.41781317349947616,1.25,1.34,5.9,1
3164,LineA,61.47,76.63,155.13,0.93,0.5126758601865552,1.27,1.9,1
1660,LineC,89.7,100.97,112.35,0.83,0.4845068568796016,0.98,,1
6382,LineC,64.45,96.47,239.68,1.18,0.94,0.69,8.2,0
8464,LineA,69.35,115.17,221.36,1.19,0.75,1.21,5.2,0
2158,LineB,84.51,112.24,128.29,0.92,0.87,1.066989028999082,0.1,1
9995,LineB,88.27,105.1,242.89,1.04,1.18,0.83,2.2,1
5836,LineB,75.13,62.05,185.46,1.12,1.13,1.01,4.9,0
9,LineC,85.74,98.62,229.71,0.99,0.79,0.62,9.0,0
8566,LineC,94.42,65.16,95.29,0.4429826417825772,0.6704222787054952,0.6453562675397674,4.2,1
1034,LineB,98.43,,258.29,,0.84,1.26,5.1,0
4417,LineA,64.68,109.92,149.41,1.17,0.76,1.29,2.5,0
38,LineC,78.78,96.33,133.19,1.03,0.75,0.9,4.5,0
5645,LineA,61.2,86.77,257.07,1.1,0.71,1.21,9.3,0
8846,LineA,71.63,107.62,211.74,1.13,1.06,1.12,6.0,0
7355,LineC,76.23,,59.62,,0.93,0.98,1.8,1
9517,LineA,71.13,107.9,255.1,0.81,0.97,1.02,1.0,1
5198,LineB,81.14,94.74,280.47,0.5235249402885003,0.94,1.1,4.0,1
8061,LineA,89.55,118.19,178.67,1.0,1.2,0.5851230159027224,1.6,1
3070,LineA,94.1,71.3,201.38,0.89,0.89,1.4,8.9,1
6809,LineB,92.35,37.42,83.79,0.99,1.11,0.7,8.5,0
3182,LineB,67.97,101.23,218.66,1.1,1.29,1.28,0.2,1
5392,LineA,77.58,41.48,193.69,1.2,1.24,0.7,5.9,0
300,LineA,83.28,62.23,99.73,0.84,1.26,1.3,1.2,1
690,LineA,62.63,48.16,167.17,1.18,0.6760560793668859,0.7141942694106759,,1
9961,LineB,61.65,95.06,93.73,0.95,1.15,0.83,2.2,0
4788,LineC,98.16,31.24,84.59,1.04,1.0,0.5248897642656775,0.9,1
5412,LineA,76.38,111.54,296.81,1.03,0.98,0.76,1.4,0
1804,LineC,93.75,114.19,56.2,,0.89,0.9809415266604463,6.7,1
989,LineA,81.37,42.23,172.01,0.5335927276017407,0.5746476674618531,1.33,8.2,1
3973,LineB,98.86,55.16,251.32,0.91,1.02,1.16,6.4,0
2973,LineB,,113.49,192.13,1.04,1.03,0.72,4.2,0
7307,LineB,72.06,93.96,258.32,0.94,0.8,0.99,5.6,0
987,LineC,99.69,116.99,195.9,1.1,0.4056336476201316,1.0153605275959006,9.8,1
914,LineC,81.48,50.45,262.58,0.94,0.79,0.95,4.9,0
6731,LineB,90.7,,85.1,1.02,0.79,0.99,8.7,0
927,LineC,89.91,103.69,77.26,0.5537283022282216,1.09,1.1788507820393086,0.9,1
1937,LineB,93.85,108.49,288.73,0.99,0.92,0.93,8.2,0
6053,LineB,85.44,74.34,131.02,1.19,1.26,1.03,7.6,0
9554,LineC,93.17,94.3,95.48,0.41781317349947616,0.87,1.0755937792329457,6.5,1
23,LineB,73.54,63.36,161.55,1.06,0.73,1.21,6.1,0
7173,LineB,68.0,63.5,177.11,1.17,1.01,1.25,4.6,0
1646,LineC,65.09,112.59,118.74,0.83,1.09,0.61,9.8,0
7388,LineA,64.93,52.83,91.64,0.5587621958848418,0.82,1.0411747782974914,1.3,1
3967,LineA,93.35,119.22,213.29,0.593999451481183,0.7,1.1186175304022634,0.6,1
4035,LineA,75.22,80.68,298.79,1.04,1.21,1.14,5.5,0
4370,LineB,74.47,31.2,52.52,1.12,1.26,0.99,9.6,0
4098,LineA,84.51,,108.34,0.82,0.7,1.1530365313377178,,1
7883,LineC,73.17,50.81,53.75,0.83,1.1,1.06,3.0,0
1184,LineB,91.4,66.74,276.42,1.0,0.5295772621707273,0.83,8.1,1
9432,LineB,62.29,,74.67,0.81,0.79,0.97,6.9,0
4386,LineB,62.28,102.88,292.45,0.85,1.27,1.14,9.7,0
6458,LineB,89.17,90.03,223.0,0.96,1.14,0.61,1.5,1
128,LineB,79.49,87.15,129.82,1.12,1.01,1.04,3.9,0
6055,LineA,78.09,40.08,99.04,0.98,0.81,1.38,7.6,0
8085,LineB,84.52,39.44,53.61,0.95,1.04,0.96,5.2,0
7023,LineB,77.05,36.42,89.14,1.16,0.96,0.67,7.3,0
9255,LineC,62.44,94.4,94.48,0.568829983198082,0.5802814681232438,1.1,0.5,1
9974,LineB,92.99,97.94,98.45,0.51345715297526,0.89,0.66,0.5,1
2396,LineA,86.48,94.1,290.3,0.5587621958848418,1.01,1.08,8.7,1
1494,LineB,71.77,99.98,96.11,1.16,1.13,0.63,7.4,0
695,LineA,,47.74,189.18,1.04,0.92,1.15,0.6,1
1792,LineC,64.3,105.12,107.31,0.86,0.88,1.3,4.6,0
6039,LineA,71.29,90.21,134.76,1.13,0.85,1.18,6.3,0
712,LineA,77.98,66.61,113.03,0.9,0.92,0.73,4.7,0
9443,LineA,,117.2,96.61,0.81,1.02,1.32,7.9,0
5316,LineA,68.22,95.8,226.64,1.19,1.08,1.24,9.9,0
1652,LineA,76.19,46.97,156.46,1.01,0.84,1.05,5.0,1
9644,LineC,92.61,55.75,196.4,0.92,1.27,0.7658227708138573,9.4,1
4251,LineB,88.78,,129.7,1.05,0.6591546773827138,0.7141942694106759,1.9,1
6864,LineB,72.18,37.0,192.53,0.96,1.26,1.066989028999082,5.9,1
3116,LineB,88.16,101.68,223.62,1.11,0.92,0.83,9.3,1
2012,LineA,77.11,76.6,277.3,1.16,1.06,1.26,0.2,0
8777,LineA,63.32,39.19,112.98,1.17,1.12,1.22,0.3,0
2769,LineB,98.38,35.23,250.51,1.15,1.3,1.18,3.2,1
6828,LineB,89.25,93.66,299.78,0.5335927276017407,0.5352110628321181,0.9981510271281735,7.1,1
3833,LineA,65.89,118.34,169.66,1.18,1.05,1.3,,0
7719,LineC,65.37,36.95,254.74,0.5637960895414619,0.5915490694460253,0.6453562675397674,,1
4628,LineA,64.66,58.93,152.31,1.05,0.86,0.6,3.4,0
5809,LineB,79.09,51.26,151.86,1.05,1.1,1.23,6.6,0
66,LineA,96.14,83.61,90.07,0.87,0.73,1.1702460318054448,9.6,1
8770,LineA,63.2,71.27,163.45,0.91,0.72,0.85,2.7,0
6984,LineC,89.33,41.64,199.06,1.16,0.7211264846580118,1.25,,1
114,LineB,90.79,39.08,124.57,0.88,0.95,0.79,4.6,1
9442,LineC,85.49,90.94,174.84,0.89,0.94,1.38,5.0,0
91,LineA,74.84,80.59,140.76,1.16,0.83,1.32,8.6,0
6692,LineB,93.02,68.88,239.02,0.85,1.16,0.71,5.7,0
461,LineC,94.38,95.62,187.99,0.5486944085716013,1.16,1.07,2.7,1
3450,LineB,97.86,90.96,81.07,0.5084232593186397,0.6084504714301975,0.78,0.1,1
4508,LineB,65.05,115.4,130.99,1.13,1.1,1.28,,0
7043,LineB,96.05,78.01,288.85,0.82,0.6873236806896674,0.7141942694106759,0.6,1
